"","Site","Oi_sum","Oe_sum","Oa_sum","E_sum","Bhs_sum","Bs_sum","BC_sum","C_sum","Bhb_sum","B_sum","R_sum","Bs1_sum","Bs2_sum","Bhs1_sum","Bhs2_sum","Bh_sum","BC?_sum","E1_sum","E2_sum","A_sum","Eb_sum","BCb'_sum","Eb'_sum","Bsb_sum","BCb''_sum","BC'1_sum","BC'2_sum","BC'3_sum","E/Bg_sum","Bh?_sum","E/Bhs1_sum","Oa1_sum","Oa2_sum","C1_sum","C2_sum","E/Bhs_sum","Bh1_sum","Bh2_sum","E/B_sum","B?_sum","O_sum","HPU","Bottom_Interface","Total_Depth","allO_thickness","allE_thickness","allBhs_thickness","allBs_thickness","allBh_thickness","allBg_thickness","allBw_thickness","allBC_thickness","allC_thickness","Sub","Site2","x","y","geometry"
"19","42R13C6",0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"C","37",6,3,28,0,0,0,0,0,0,42,"R13C6",281634.618,4871212.261,c(281634.618, 4871212.261)
"20","42R13C7",0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","37",6,9,22,0,0,0,0,0,0,42,"R13C7",281638.973,4871211.347,c(281638.973, 4871211.347)
"21","42R13C8",0,0,0,0,32,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,"R","56",7,0,32,0,12,0,0,0,0,42,"R13C8",281643.685,4871211.353,c(281643.685000001, 4871211.353)
"22","42R13C9",0,0,0,2,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,"R","31",10,2,13,0,0,0,0,0,0,42,"R13C9",281648.844,4871210.581,c(281648.844, 4871210.581)
"23","42R14C10",0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"C","35",6,0,13,0,0,0,0,16,0,42,"R14C10",281653.68,4871205.559,c(281653.680000001, 4871205.559)
"24","42R14C11",0,0,0,0,15,0,0,23,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","68",8,0,15,0,22,0,0,0,0,42,"R14C11",281658.726,4871205.513,c(281658.726, 4871205.513)
"25","42R14C5",0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,"R","77",7,0,8,0,54,0,0,0,0,42,"R14C5",281629.16,4871205.607,c(281629.16, 4871205.607)
"26","42R14C6",0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,"R","43",7,0,10,0,18,0,0,0,0,42,"R14C6",281634.145,4871205.702,c(281634.145, 4871205.702)
"27","42R14C7",0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"BC","58",8,0,6,0,35,0,0,9,0,42,"R14C7",281638.663,4871205.028,c(281638.663, 4871205.028)
"28","42R14C8",0,0,0,0,27,0,18,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","85",8,0,27,0,32,0,0,18,0,42,"R14C8",281644.063,4871205.459,c(281644.063, 4871205.459)
