pedon,date,observer,project,hpu,easting,northing,pm,notes
WS3_R12,7/21/09,KBH,REU2009,Bh,281581.4577,4870541.669,till,
WS3_R14,7/3/09,KBH,REU2009,Bh,281571.4227,4870550.754,till,
WS3_R15,7/3/09,KBH,REU2009,Bh,281568.6728,4870547.689,till,
WS3_R16,7/23/09,KBH,REU2009,T,281570.4997,4870551.2,till,
WS3_R21,7/27/09,KBH,REU2009,T,281637.9679,4870820.912,till,
WS3_R22,7/27/09,KBH,REU2009,Bh,281632.4603,4870820.914,till,
WS3_R23,7/27/09,KBH,REU2009,Bh,281630.7635,4870817.607,till,
WS3_R24,7/27/09,KBH,REU2009,Bh,281627.5159,4870819.94,till,
WS3_R25,7/27/09,KBH,REU2009,T,281625.1143,4870817.583,till,
WS3_R31,7/20/09,KBH,REU2009,Bi,281766.7215,4871015.758,till,
WS3_R32,7/20/09,KBH,REU2009,Bh,281759.0489,4871015.897,till,
WS3_R33,7/16/09,KBH,REU2009,Bh,281754.7551,4871018.665,till,
WS3_R34,7/15/09,KBH,REU2009,Bh,281748.0118,4871020.651,till,
WS3_R35,7/14/09,KBH,REU2009,Bh,281745.2074,4871022.956,till,
WS3_R36,6/26/09,KBH,REU2009,T,281738.7114,4871024.741,till,
WS3_T1,7/29/11,JPG,GRADJPG,T,281509.3707,4870767.347,till,
WS3_T2,6/5/12,SWB,GRADJPG,T,281490.0234,4870777.683,till,
WS3_U1,7/19/12,RRB,GRADRRB,E,281987.7899,4870687.94,till,
WS3_U2,7/20/12,RRB,GRADRRB,E,281985.7224,4870685.666,till,
WS3_U3,7/20/12,RRB,GRADRRB,Bhs,281980.7208,4870680.738,till,
WS3_U4a,6/9/16,SWB,REU2016,O,281976.886,4870699.118,organic,
WS3_U4b,6/9/16,SWB,REU2016,O,281990.2045,4870691.594,organic,
WS3_U4c,6/9/16,SWB,REU2016,O,281997.0893,4870685.952,organic,
WS3_U5a,6/9/16,ARP,REU2016,Bhsm,281985.0889,4870684.316,till,
WS3_U5b,6/9/16,SAD,REU2016,E,281987.4414,4870687.014,till,
WS3_U5c,6/9/16,SAD,REU2016,E,281988.2839,4870684.004,till,
WS3_U6a,6/13/16,ARP,REU2016,E,281967.0726,4870650.554,till,
WS3_U6b,6/13/16,SAD,REU2016,Bhs,281963.6106,4870643.828,till,
WS3_U6c,6/13/16,SAD,REU2016,Bhs,281967.5914,4870643.229,till,
WS3_U7a,6/8/16,ARP,REU2016,T,281855.1883,4870527.326,till,
WS3_U7b,6/8/16,SAD,REU2016,T,281855.5038,4870523.572,till,
WS3_U7c,6/8/16,SWB,REU2016,T,281851.3876,4870525.828,till,
WS3_U8,6/16/16,SAD,REU2016,Bi,281855.6988,4870573.347,till,
WS3_V2,10/29/18,JAB,GRADJAB,Bhs,281641.6,4871207.4,till,
WS3_V4,9/7/18,JAB,GRADJAB,E,281617.4212,4871242.869,till,
